               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045094,            0.029315,            0.022181,             0.80891,             0.48094,              0.5616,             0.32993,            0.044129,            0.013329,              0.0194,            0.006436,            0.006436,            0.006436
                  38,            0.044857,            0.028275,            0.022715,             0.81476,             0.47824,             0.55441,              0.3281,            0.044549,            0.013354,             0.01972,            0.006337,            0.006337,            0.006337
                  39,            0.044849,            0.028722,            0.022071,             0.78786,             0.48626,             0.56575,             0.33779,            0.044054,            0.013399,            0.018575,            0.006238,            0.006238,            0.006238
                  40,            0.044567,            0.028421,            0.021379,             0.83929,             0.48554,              0.5744,             0.34712,            0.043938,            0.013074,             0.01747,            0.006139,            0.006139,            0.006139
                  41,            0.044217,            0.029085,            0.021499,             0.79378,             0.49392,             0.57363,             0.34697,            0.043701,            0.012977,            0.018883,             0.00604,             0.00604,             0.00604
                  42,            0.044125,            0.028074,            0.021286,             0.76122,             0.51251,             0.58022,              0.3476,            0.043366,            0.013161,              0.0178,            0.005941,            0.005941,            0.005941
                  43,            0.044078,            0.028178,            0.020673,             0.82508,             0.50211,             0.58878,             0.36055,            0.043091,            0.012897,            0.017438,            0.005842,            0.005842,            0.005842
                  44,            0.043198,              0.0284,            0.019738,             0.81402,             0.51092,             0.57398,              0.3503,            0.043129,            0.013003,             0.01826,            0.005743,            0.005743,            0.005743
                  45,            0.043356,            0.027901,            0.019329,             0.80592,              0.5087,             0.58375,             0.35716,            0.042658,            0.013053,            0.016943,            0.005644,            0.005644,            0.005644
                  46,             0.04312,            0.027754,            0.019052,             0.81305,             0.51635,             0.58736,             0.36035,            0.042756,            0.013019,               0.018,            0.005545,            0.005545,            0.005545
                  47,            0.042596,            0.028199,            0.019748,              0.8386,             0.50681,             0.58673,             0.36282,            0.042579,            0.012958,            0.017323,            0.005446,            0.005446,            0.005446
                  48,            0.042453,            0.027182,            0.019769,             0.80812,             0.52392,             0.59233,             0.36249,            0.042724,            0.013038,            0.016555,            0.005347,            0.005347,            0.005347
                  49,            0.042315,            0.027607,            0.019307,             0.84055,             0.52152,             0.59762,             0.36239,            0.042062,            0.013088,            0.016469,            0.005248,            0.005248,            0.005248
                  50,            0.042738,            0.027551,            0.018248,              0.8477,             0.51573,              0.5986,              0.3623,            0.041942,            0.012945,            0.016491,            0.005149,            0.005149,            0.005149
                  51,            0.041914,            0.027002,            0.017855,             0.80135,             0.53274,             0.60306,             0.37571,            0.041909,             0.01282,            0.016898,             0.00505,             0.00505,             0.00505
                  52,            0.042076,            0.027023,            0.018349,             0.85553,              0.5235,             0.61865,             0.38206,            0.041609,            0.012493,            0.016253,            0.004951,            0.004951,            0.004951
                  53,            0.041666,            0.027123,             0.01771,               0.832,             0.51849,             0.64506,              0.3941,            0.041857,            0.012827,            0.016468,            0.004852,            0.004852,            0.004852
                  54,            0.041826,            0.027165,             0.01761,             0.80413,              0.5289,              0.6068,             0.38057,            0.041902,            0.012644,            0.016362,            0.004753,            0.004753,            0.004753
                  55,            0.041427,            0.026888,            0.018149,             0.87421,             0.50211,             0.61048,              0.3748,             0.04201,            0.012585,            0.016283,            0.004654,            0.004654,            0.004654
                  56,             0.04142,            0.027151,            0.016633,             0.83355,             0.53713,             0.61521,             0.37938,            0.041551,            0.012565,            0.016068,            0.004555,            0.004555,            0.004555
                  57,             0.04138,            0.026914,            0.016867,              0.8376,             0.54098,             0.62376,             0.38502,            0.041614,            0.012497,            0.015602,            0.004456,            0.004456,            0.004456
                  58,             0.04103,            0.026319,            0.016782,             0.82801,             0.54577,              0.6226,             0.38827,            0.041191,            0.012557,            0.014638,            0.004357,            0.004357,            0.004357
                  59,            0.041028,            0.027308,            0.016503,             0.83971,             0.54394,             0.62343,             0.39168,            0.041309,            0.012351,            0.015704,            0.004258,            0.004258,            0.004258
                  60,            0.040359,            0.026339,             0.01588,              0.8373,             0.53878,             0.62472,             0.38924,            0.040945,            0.012433,            0.014432,            0.004159,            0.004159,            0.004159
                  61,            0.040681,            0.026457,            0.016248,             0.82435,             0.54593,             0.61828,             0.38959,            0.041046,            0.012373,             0.01523,             0.00406,             0.00406,             0.00406
                  62,             0.04063,            0.026598,            0.016281,             0.84078,             0.54195,             0.62844,              0.3915,            0.040941,            0.012505,            0.014185,            0.003961,            0.003961,            0.003961
                  63,            0.040374,            0.026311,            0.015968,              0.8413,             0.55347,             0.63098,             0.39578,            0.041027,            0.012226,            0.015498,            0.003862,            0.003862,            0.003862
                  64,              0.0401,            0.025941,             0.01577,             0.84305,             0.54481,             0.63456,             0.40549,            0.040739,            0.012229,            0.014881,            0.003763,            0.003763,            0.003763
                  65,            0.040166,            0.025966,            0.015597,              0.8316,              0.5605,             0.63589,             0.40476,            0.040704,            0.012158,              0.0148,            0.003664,            0.003664,            0.003664
                  66,            0.039846,            0.026147,            0.015693,             0.82534,              0.5637,             0.63974,             0.40181,            0.041106,            0.012362,            0.014177,            0.003565,            0.003565,            0.003565
                  67,            0.039462,            0.025978,            0.014936,             0.83694,             0.55946,             0.63385,             0.40111,            0.040437,            0.012265,            0.013337,            0.003466,            0.003466,            0.003466
                  68,            0.039603,            0.025714,            0.014936,             0.84036,             0.56091,             0.64363,              0.4088,            0.040208,             0.01209,              0.0136,            0.003367,            0.003367,            0.003367
                  69,             0.03913,            0.025654,             0.01491,             0.88975,             0.54708,             0.63525,             0.40872,            0.040348,            0.012242,             0.01421,            0.003268,            0.003268,            0.003268
